original,location,sample_period,duplicate,location,sample_period
PG2012067,Pangnirtung,16,PG2012067,Pangnirtung,16
PG2012068,Pangnirtung,16,PG2012068,Pangnirtung,16
PG2012068,Pangnirtung,16,PG2012091,Pangnirtung,16
PG2012069,Pangnirtung,16,PG2012069,Pangnirtung,16
PG2012069,Pangnirtung,16,PG2012070,Pangnirtung,16
PG2012071,Pangnirtung,16,PG2012071,Pangnirtung,16
PG2012072,Pangnirtung,16,PG2012072,Pangnirtung,16
PG2012073,Pangnirtung,16,PG2012073,Pangnirtung,16
PG2012073,Pangnirtung,16,PG2012074,Pangnirtung,16
PG2012075,Pangnirtung,16,PG2012076,Pangnirtung,16
PG2012075,Pangnirtung,16,PG2012075,Pangnirtung,16
PG2012077,Pangnirtung,16,PG2012077,Pangnirtung,16
PG2012078,Pangnirtung,16,PG2012078,Pangnirtung,16
PG2012079,Pangnirtung,16,PG2012079,Pangnirtung,16
PG2012079,Pangnirtung,16,PG2012080,Pangnirtung,16
PG2012081,Pangnirtung,16,PG2012083,Pangnirtung,16
PG2012081,Pangnirtung,16,PG2012081,Pangnirtung,16
PG2012082,Pangnirtung,16,PG2012084,Pangnirtung,16
PG2012082,Pangnirtung,16,PG2012082,Pangnirtung,16
PG2012085,Pangnirtung,16,PG2012085,Pangnirtung,16
PG2012086,Pangnirtung,16,PG2012086,Pangnirtung,16
PG2012087,Pangnirtung,16,PG2012087,Pangnirtung,16
PG2012088,Pangnirtung,16,PG2012088,Pangnirtung,16
PG2012089,Pangnirtung,16,PG2012089,Pangnirtung,16
PG2012090,Pangnirtung,16,PG2012090,Pangnirtung,16
PG2012093,Pangnirtung,16,PG2012093,Pangnirtung,16
PG2012095,Pangnirtung,16,PG2012095,Pangnirtung,16
PG2012096,Pangnirtung,16,PG2012096,Pangnirtung,16
PG2012097,Pangnirtung,16,PG2012097,Pangnirtung,16
PG2012098,Pangnirtung,16,PG2012098,Pangnirtung,16
PG2012099,Pangnirtung,16,PG2012099,Pangnirtung,16
PG2012099,Pangnirtung,16,PG2012103,Pangnirtung,16
PG2012100,Pangnirtung,16,PG2012100,Pangnirtung,16
PG2012101,Pangnirtung,16,PG2012102,Pangnirtung,16
PG2012101,Pangnirtung,16,PG2012101,Pangnirtung,16
PG2012104,Pangnirtung,16,PG2012104,Pangnirtung,16
PG2012105,Pangnirtung,16,PG2012105,Pangnirtung,16
PG2012105,Pangnirtung,16,PG2012106,Pangnirtung,16
PG2012107,Pangnirtung,16,PG2012107,Pangnirtung,16
PG2012108,Pangnirtung,16,PG2012108,Pangnirtung,16
PG2012110,Pangnirtung,16,PG2012110,Pangnirtung,16
PG2012111,Pangnirtung,16,PG2013008,Pangnirtung,17
PG2012111,Pangnirtung,16,PG2012111,Pangnirtung,16
PG2012113,Pangnirtung,16,PG2012113,Pangnirtung,16
PG2013003,Pangnirtung,17,PG2013003,Pangnirtung,17
PG2013004,Pangnirtung,17,PG2013023,Pangnirtung,17
PG2013004,Pangnirtung,17,PG2013024,Pangnirtung,17
PG2013004,Pangnirtung,17,PG2013004,Pangnirtung,17
PG2013005,Pangnirtung,17,PG2013005,Pangnirtung,17
PG2013006,Pangnirtung,17,PG2013006,Pangnirtung,17
PG2013007,Pangnirtung,17,PG2013007,Pangnirtung,17
PG2013011,Pangnirtung,17,PG2013011,Pangnirtung,17
PG2013012,Pangnirtung,17,PG2013012,Pangnirtung,17
PG2013013,Pangnirtung,17,PG2013013,Pangnirtung,17
PG2013014,Pangnirtung,17,PG2013041,Pangnirtung,17
PG2013014,Pangnirtung,17,PG2013014,Pangnirtung,17
PG2013015,Pangnirtung,17,PG2013015,Pangnirtung,17
PG2013016,Pangnirtung,17,PG2013016,Pangnirtung,17
PG2013017,Pangnirtung,17,PG2013017,Pangnirtung,17
PG2013018,Pangnirtung,17,PG2013018,Pangnirtung,17
PG2013019,Pangnirtung,17,PG2013019,Pangnirtung,17
PG2013020,Pangnirtung,17,PG2013020,Pangnirtung,17
PG2013021,Pangnirtung,17,PG2013021,Pangnirtung,17
PG2013022,Pangnirtung,17,PG2013022,Pangnirtung,17
PG2013025,Pangnirtung,17,PG2013025,Pangnirtung,17
PG2013026,Pangnirtung,17,PG2013026,Pangnirtung,17
PG2013027,Pangnirtung,17,PG2013027,Pangnirtung,17
PG2013028,Pangnirtung,17,PG2013028,Pangnirtung,17
PG2013029,Pangnirtung,17,PG2013029,Pangnirtung,17
PG2013030,Pangnirtung,17,PG2013030,Pangnirtung,17
PG2013031,Pangnirtung,17,PG2013031,Pangnirtung,17
PG2013032,Pangnirtung,17,PG2013032,Pangnirtung,17
PG2013033,Pangnirtung,17,PG2013033,Pangnirtung,17
PG2013034,Pangnirtung,17,PG2013034,Pangnirtung,17
PG2013035,Pangnirtung,17,PG2013035,Pangnirtung,17
PG2013036,Pangnirtung,17,PG2013036,Pangnirtung,17
PG2013037,Pangnirtung,17,PG2013037,Pangnirtung,17
PG2013038,Pangnirtung,17,PG2013038,Pangnirtung,17
PG2013039,Pangnirtung,17,PG2013040,Pangnirtung,17
PG2013039,Pangnirtung,17,PG2013039,Pangnirtung,17
PG2013042,Pangnirtung,17,PG2013042,Pangnirtung,17
PG2013043,Pangnirtung,17,PG2013043,Pangnirtung,17
PG2013044,Pangnirtung,17,PG2013044,Pangnirtung,17
PG2013045,Pangnirtung,17,PG2013045,Pangnirtung,17
PG2013046,Pangnirtung,17,PG2013046,Pangnirtung,17
PG2013047,Pangnirtung,17,PG2013047,Pangnirtung,17
PG2013048,Pangnirtung,17,PG2013048,Pangnirtung,17
PG2013049,Pangnirtung,17,PG2013049,Pangnirtung,17
PG2013050,Pangnirtung,17,PG2013050,Pangnirtung,17
PG2013051,Pangnirtung,17,PG2013051,Pangnirtung,17
