"","x"
"1615",19599
"1616",20032
"1617",15674
"1618",12930
"1619",9033
"1620",23171
"1621",13146
"1622",14299
"1623",10858
"1624",12604
"1625",16021
"1626",17744
"1627",11714
"1628",26499
"1629",19421
"1630",23587
"1631",12300
"1632",16975
"1633",19549
"1634",26044
"1635",15338
"1636",15496
"1637",9811
"1638",13758
"1639",23389
"1640",26836
"1641",15992
"1642",23984
"1643",17445
"1644",20639
"1645",16224
"1646",16893
"1647",23358
"1648",21953
"1649",12113
"1650",17564
"1651",20185
"1652",17756
"1653",15743
"1654",12800
"1655",26344
"1656",12386
"1657",16583
"1658",17175
"1659",13195
"1660",9262
"1661",12611
"1662",16099
"1663",14221
"1664",21875
"1665",26098
"1666",22123
"1667",15225
"1668",15791
"1669",28403
"1670",10589
"1671",18656
"1672",20812
"1673",34933
"1674",13973
"1675",12285
"1676",13280
"1677",17396
"1678",17161
"1679",13204
"1680",10739
"1681",12538
"1682",9045
"1683",13881
"1684",15131
"1685",17581
"1686",14603
"1687",10248
"1688",7188
"1689",23074
"1690",43136
"1691",30509
"1692",25463
"1693",13887
"1694",14227
"1695",21780
"1696",11182
"1697",10512
"1698",18904
"1699",21685
"1700",18941
"1701",30849
"1702",19808
"1703",12958
"1704",14746
"1705",18111
"1706",13315
"1707",21841
"1708",17734
"1709",29049
"1710",21046
"1711",13384
"1712",14144
"1713",17907
"1714",13450
"1715",24115
"1716",19456
"1717",12752
"1718",8125
"1719",11895
"1720",20949
"1721",19562
"1722",14066
"1723",13071
"1724",19081
"1725",13130
"1726",9540
"1727",12764
"1728",22479
"1729",16954
"1730",15722
"1731",13693
"1732",11753
"1733",15056
"1734",12266
"1735",13711
"1736",13819
"1737",28340
"1738",12814
"1739",34355
"1740",24073
"1741",9901
"1742",16322
"1743",18988
"1744",9449
"1745",9135
"1746",23936
"1747",37643
"1748",15146
"1749",26277
"1750",18291
"1751",21027
"1752",11101
"1753",13437
"1754",10856
"1755",13968
"1756",33337
"1757",16498
"1758",16255
"1759",14328
"1760",15018
"1761",11943
"1762",17467
"1763",13736
"1764",14652
"1765",12291
"1766",8689
"1767",16063
"1768",11151
"1769",14930
"1770",10649
"1771",18974
"1772",13506
"1773",12966
"1774",17505
"1775",17712
"1776",19640
"1777",19163
"1778",11425
"1779",18367
"1780",29045
"1781",18775
"1782",9255
"1783",23625
"1784",32172
"1785",20173
"1786",12996
"1787",11260
"1788",17916
"1789",10778
"1790",30918
"1791",18638
"1792",6689
"1793",11741
"1794",18366
"1795",11989
"1796",22111
"1797",22219
"1798",13438
"1799",24323
"1800",18031
"1801",19066
"1802",22232
"1803",19575
"1804",20404
"1805",20820
"1806",14546
"1807",15140
"1808",18924
"1809",22438
"1810",11485
"1811",18782
"1812",18652
"1813",11496
"1814",23873
"1815",20627
"1816",17385
"1817",24967
"1818",18828
"1819",15397
"1820",28746
"1821",9321
"1822",20393
"1823",18643
"1824",23299
"1825",14872
"1826",24420
"1827",26064
"1828",12595
"1829",31724
"1830",20947
"1831",28701
"1832",18067
"1833",16461
"1834",27783
"1835",20280
"1836",18599
"1837",17317
"1838",20161
"1839",22043
"1840",10130
"1841",16255
"1842",9327
"1843",23359
"1844",9638
"1845",21170
"1846",21036
"1847",15687
"1848",16710
"1849",14239
"1850",12931
"1851",26942
"1852",23573
"1853",16341
"1854",23923
"1855",13797
"1856",27538
"1857",11753
"1858",16563
"1859",18731
"1860",34825
"1861",16917
"1862",11439
"1863",25600
"1864",20069
"1865",18989
"1866",12571
"1867",12630
"1868",17324
"1869",14187
"1870",7355
"1871",15350
"1872",21403
"1873",11793
"1874",10737
"1875",18838
"1876",18660
"1877",12035
"1878",13947
"1879",13043
"1880",20077
"1881",18651
"1882",16284
"1883",19298
"1884",14252
"1885",16742
"1886",21165
"1887",15244
"1888",19140
"1889",14257
"1890",18466
"1891",10271
"1892",28844
"1893",18164
"1894",12030
"1895",12774
"1896",20564
"1897",13261
"1898",27338
"1899",14799
"1900",18994
"1901",21970
"1902",10367
"1903",16681
"1904",17421
"1905",26340
"1906",13910
"1907",19450
"1908",28844
"1909",18309
"1910",17634
"1911",10897
"1912",18091
"1913",14658
"1914",24768
"1915",23862
"1916",30789
"1917",19639
"1918",18213
"1919",19245
"1920",24013
"1921",23583
"1922",40041
"1923",13602
"1924",11577
"1925",18435
"1926",17841
"1927",7752
"1928",9336
"1929",28170
"1930",16178
"1931",10881
"1932",16796
"1933",11404
"1934",10232
"1935",18402
"1936",14820
"1937",18290
"1938",12245
"1939",12247
"1940",21553
"1941",9802
"1942",22838
"1943",18746
"1944",26820
"1945",20051
"1946",11789
"1947",14878
"1948",17519
"1949",39349
"1950",15929
"1951",11849
"1952",20422
"1953",14967
"1954",15262
"1955",24498
"1956",20341
"1957",13253
"1958",25726
"1959",20246
"1960",27431
"1961",22941
"1962",12724
"1963",18436
"1964",13804
"1965",20959
"1966",12024
"1967",18004
"1968",18274
"1969",11262
"1970",17679
"1971",10306
"1972",8747
"1973",17430
"1974",18026
"1975",18709
"1976",14406
"1977",7508
"1978",17239
"1979",32303
"1980",18159
"1981",20451
"1982",16390
"1983",13264
"1984",30221
"1985",18743
"1986",17774
"1987",16543
"1988",9830
"1989",14784
"1990",26182
"1991",17404
"1992",14001
"1993",16966
"1994",13582
"1995",13741
"1996",13934
"1997",11057
"1998",11168
"1999",20157
"2000",12211
"2001",14057
"2002",12478
"2003",19520
"2004",19971
"2005",11746
"2006",22677
"2007",18782
"2008",21646
"2009",11209
"2010",23577
"2011",16704
"2012",20375
"2013",11665
"2014",11962
"2015",9273
"2016",18080
"2017",21326
"2018",22829
"2019",13125
"2020",15047
"2021",13271
"2022",11672
"2023",11959
"2024",31759
"2025",13014
"2026",24665
"2027",14192
"2028",10555
"2029",23185
"2030",9263
"2031",13636
"2032",17296
"2033",41446
"2034",23069
"2035",18209
"2036",13827
"2037",15055
"2038",21272
"2039",15979
"2040",16361
"2041",14858
"2042",20381
"2043",24806
"2044",23133
"2045",14610
"2046",17767
"2047",33739
"2048",18521
"2049",11850
"2050",12720
"2051",18503
"2052",16419
"2053",8876
"2054",19712
"2055",20715
"2056",18390
"2057",28665
"2058",11938
"2059",23249
"2060",10935
"2061",12583
"2062",20104
"2063",33453
"2064",18111
"2065",21914
"2066",19036
"2067",29043
"2068",15032
"2069",20765
"2070",15241
"2071",21221
"2072",18955
"2073",16410
"2074",24599
"2075",30733
"2076",16518
"2077",11309
"2078",19574
"2079",19432
"2080",22574
"2081",13506
"2082",17612
"2083",35509
"2084",13756
"2085",29817
"2086",26656
"2087",22788
"2088",6583
"2089",9515
"2090",16774
"2091",19507
"2092",16683
"2093",12261
"2094",19337
"2095",14949
"2096",18993
"2097",11885
"2098",12660
"2099",21389
"2100",10739
"2101",18651
"2102",12624
"2103",15514
"2104",15286
"2105",18460
"2106",38984
"2107",18123
"2108",30851
"2109",31283
"2110",12770
"2111",21853
"2112",11377
"2113",23986
"2114",23180
"2115",18304
"2116",8997
"2117",9927
"2118",29033
"2119",26467
"2120",27194
"2121",19867
"2122",18034
"2123",19609
"2124",25882
"2125",15871
"2126",13437
"2127",16445
"2128",11899
"2129",17818
"2130",23331
"2131",19740
"2132",17520
"2133",15505
"2134",11796
"2135",22335
"2136",22357
"2137",33166
"2138",18220
"2139",20605
