"","x"
"1858",6488
"1859",7117
"1860",22253
"1861",9865
"1862",2777
"1863",13128
"1864",12522
"1865",9303
"1866",5180
"1867",5703
"1868",8967
"1869",4229
"1870",657
"1871",7991
"1872",7836
"1873",4912
"1874",3608
"1875",11419
"1876",6925
"1877",5306
"1878",4452
"1879",2164
"1880",8565
"1881",10133
"1882",7648
"1883",10887
"1884",6447
"1885",6508
"1886",6793
"1887",5764
"1888",8955
"1889",2540
"1890",11128
"1891",5253
"1892",18497
"1893",5901
"1894",5192
"1895",7459
"1896",11582
"1897",4621
"1898",20349
"1899",4917
"1900",6344
"1901",9780
"1902",2098
"1903",9315
"1904",8633
"1905",15166
"1906",5671
"1907",10030
"1908",18221
"1909",9576
"1910",8195
"1911",1124
"1912",7149
"1913",6438
"1914",14363
"1915",12640
"1916",22577
"1917",12903
"1918",4440
"1919",10909
"1920",14273
"1921",15213
"1922",32850
"1923",3411
"1924",1662
"1925",11658
"1926",4514
"1927",1135
"1928",2805
"1929",19982
"1930",2924
"1931",3267
"1932",8662
"1933",2457
"1934",3448
"1935",5667
"1936",9591
"1937",9550
"1938",5350
"1939",4534
"1940",13702
"1941",723
"1942",10986
"1943",9252
"1944",9655
"1945",7988
"1946",2753
"1947",6791
"1948",7709
"1949",28406
"1950",6621
"1951",881
"1952",8558
"1953",5009
"1954",8532
"1955",14488
"1956",4370
"1957",5226
"1958",13107
"1959",10058
"1960",13785
"1961",6191
"1962",2959
"1963",7291
"1964",1845
"1965",11537
"1966",3027
"1967",2664
"1968",7533
"1969",3799
"1970",6595
"1971",2504
"1972",1770
"1973",6399
"1974",10333
"1975",7196
"1976",4259
"1977",1490
"1978",3734
"1979",23810
"1980",10509
"1981",10304
"1982",9202
"1983",5018
"1984",18698
"1985",6234
"1986",10733
"1987",6758
"1988",3961
"1989",5662
"1990",16836
"1991",6830
"1992",5098
"1993",8460
"1994",6298
"1995",5721
"1996",1785
"1997",3403
"1998",2736
"1999",9487
"2000",1946
"2001",2667
"2002",4008
"2003",9520
"2004",11827
"2005",2796
"2006",12908
"2007",8125
"2008",11004
"2009",3024
"2010",14514
"2011",8451
"2012",9822
"2013",3764
"2014",1404
"2015",1694
"2016",8072
"2017",9404
"2018",13932
"2019",3466
"2020",7544
"2021",4128
"2022",3316
"2023",3152
"2024",22687
"2025",4931
"2026",15323
"2027",6246
"2028",940
"2029",15435
"2030",1935
"2031",3704
"2032",6542
"2033",27575
"2034",10986
"2035",10861
"2036",5613
"2037",4758
"2038",7066
"2039",5352
"2040",7018
"2041",3523
"2042",11355
"2043",16360
"2044",14259
"2045",6006
"2046",1902
"2047",23749
"2048",10213
"2049",4394
"2050",4730
"2051",13154
"2052",3355
"2053",1221
"2054",11408
"2055",8746
"2056",6849
"2057",20151
"2058",4872
"2059",14165
"2060",2356
"2061",3924
"2062",4807
"2063",23824
"2064",11242
"2065",12611
"2066",7772
"2067",19265
"2068",5018
"2069",13463
"2070",7261
"2071",9347
"2072",4205
"2073",2901
"2074",16850
"2075",20861
"2076",8913
"2077",4383
"2078",8016
"2079",6236
"2080",12411
"2081",6598
"2082",9534
"2083",27849
"2084",8621
"2085",17855
"2086",18461
"2087",12958
"2088",186
"2089",2146
"2090",6356
"2091",9904
"2092",5238
"2093",2765
"2094",7011
"2095",3581
"2096",9032
"2097",2516
"2098",4357
"2099",10464
"2100",1732
"2101",8295
"2102",3092
"2103",6606
"2104",7776
"2105",9361
"2106",25150
"2107",10088
"2108",23719
"2109",21412
"2110",5133
"2111",8480
"2112",4762
"2113",16177
"2114",13337
"2115",7475
"2116",1351
"2117",2127
"2118",22829
"2119",18901
"2120",12170
"2121",11213
"2122",11212
"2123",7402
"2124",12723
"2125",9580
"2126",1398
"2127",8840
"2128",3675
"2129",11067
"2130",16774
"2131",8685
"2132",3147
"2133",3162
"2134",4074
"2135",14177
"2136",12832
"2137",17296
"2138",9745
"2139",12425
"2140",10911
"2141",14584
"2142",11923
"2143",2884
"2144",6714
"2145",9371
"2146",7202
"2147",9725
