"","x"
"1709",5029
"1710",1564
"1711",3890
"1712",4386
"1713",2067
"1714",5604
"1715",2173
"1716",816
"1717",4667
"1718",178
"1719",3370
"1720",9873
"1721",922
"1722",872
"1723",2185
"1724",4292
"1725",7794
"1726",209
"1727",456
"1728",380
"1729",2333
"1730",445
"1731",2850
"1732",1492
"1733",7616
"1734",9570
"1735",2104
"1736",6459
"1737",690
"1738",627
"1739",2553
"1740",698
"1741",2767
"1742",3056
"1743",3077
"1744",3309
"1745",4108
"1746",1599
"1747",252
"1748",9246
"1749",1066
"1750",3584
"1751",105
"1752",444
"1753",2969
"1754",3990
"1755",1
"1756",1258
"1757",5034
"1758",13998
"1759",1567
"1760",235
"1761",1252
"1762",1190
"1763",176
"1764",965
"1765",2449
"1766",225
"1767",822
"1768",824
"1769",970
"1770",451
"1771",867
"1772",4046
"1773",2050
"1774",1858
"1775",3352
"1776",766
"1777",1703
"1778",1065
"1779",1083
"1780",682
"1781",10
"1782",3152
"1783",2919
"1784",387
"1785",470
"1786",2685
"1787",437
"1788",2742
"1789",1627
"1790",3169
"1791",4353
"1792",3191
"1793",2794
"1794",1401
"1795",4396
"1796",386
"1797",1819
"1798",3821
"1799",1812
"1800",2484
"1801",1578
"1802",282
"1803",2334
"1804",396
"1805",2443
"1806",71
"1807",1055
"1808",1320
"1809",194
"1810",942
"1811",16439
"1812",719
"1813",974
"1814",2630
"1815",1507
"1816",8368
"1817",4547
"1818",3069
"1819",762
"1820",603
"1821",2019
"1822",1232
"1823",2019
"1824",3669
"1825",2340
"1826",1621
"1827",5115
"1828",617
"1829",638
"1830",2816
"1831",565
"1832",321
"1833",6359
"1834",1594
"1835",4810
"1836",8283
"1837",107
"1838",676
"1839",259
"1840",891
"1841",2743
"1842",14138
"1843",4546
"1844",1584
"1845",931
"1846",361
"1847",44
"1848",1942
"1849",660
"1850",3676
"1851",12517
"1852",1594
"1853",1824
"1854",1011
"1855",501
"1856",4978
"1857",5933
"1858",85
"1859",3589
"1860",3282
